Date;rate
30.07.2025;2,75
04.06.2025;2,75
16.04.2025;2,75
12.03.2025;2,75
29.01.2025;3,0
11.12.2024;3,25
23.10.2024;3,75
04.09.2024;4,25
24.07.2024;4,5
05.06.2024;4,75
10.04.2024;5,0
06.03.2024;5,0
24.01.2024;5,0
06.12.2023;5,0
25.10.2023;5,0
06.09.2023;5,0
12.07.2023;5,0
07.06.2023;4,75
12.04.2023;4,5
08.03.2023;4,5
25.01.2023;4,5
07.12.2022;4,25
26.10.2022;3,75
07.09.2022;3,25
13.07.2022;2,5
01.06.2022;1,5
13.04.2022;1,0
02.03.2022;0,5
26.01.2022;0,25
08.12.2021;0,25
27.10.2021;0,25
08.09.2021;0,25
14.07.2021;0,25
09.06.2021;0,25
21.04.2021;0,25
10.03.2021;0,25
20.01.2021;0,25
09.12.2020;0,25
28.10.2020;0,25
09.09.2020;0,25
15.07.2020;0,25
03.06.2020;0,25
15.04.2020;0,25
27.03.2020;0,25
13.03.2020;0,75
04.03.2020;1,25
22.01.2020;1,75
04.12.2019;1,75
30.10.2019;1,75
04.09.2019;1,75
10.07.2019;1,75
29.05.2019;1,75
24.04.2019;1,75
06.03.2019;1,75
09.01.2019;1,75
05.12.2018;1,75
24.10.2018;1,75
05.09.2018;1,5
11.07.2018;1,5
30.05.2018;1,25
18.04.2018;1,25
07.03.2018;1,25
17.01.2018;1,25
06.12.2017;1
25.10.2017;1
06.09.2017;1
12.07.2017;0,75
24.05.2017;0,5
12.04.2017;0,5
01.03.2017;0,5
18.01.2017;0,5
07.12.2016;0,5
19.10.2016;0,5
07.09.2016;0,5
13.07.2016;0,5
25.05.2016;0,5
13.04.2016;0,5
09.03.2016;0,5
20.01.2016;0,5
02.12.2015;0,5
21.10.2015;0,5
09.09.2015;0,5
15.07.2015;0,5
27.05.2015;0,75
15.04.2015;0,75
04.03.2015;0,75
21.01.2015;0,75
03.12.2014;1
22.10.2014;1
03.09.2014;1
16.07.2014;1
04.06.2014;1
16.04.2014;1
05.03.2014;1
22.01.2014;1
04.12.2013;1
23.10.2013;1
04.09.2013;1
17.07.2013;1
29.05.2013;1
17.04.2013;1
06.03.2013;1
23.01.2013;1
04.12.2012;1
23.10.2012;1
05.09.2012;1
17.07.2012;1
05.06.2012;1
17.04.2012;1
08.03.2012;1
17.01.2012;1
06.12.2011;1
25.10.2011;1
07.09.2011;1
19.07.2011;1
31.05.2011;1
12.04.2011;1
01.03.2011;1
18.01.2011;1
07.12.2010;1
19.10.2010;1
08.09.2010;1
20.07.2010;0,75
01.06.2010;0,5
20.04.2010;0,25
02.03.2010;0,25
19.01.2010;0,25
08.12.2009;0,25
20.10.2009;0,25
10.09.2009;0,25
21.07.2009;0,25
04.06.2009;0,25
21.04.2009;0,25
03.03.2009;0,5
20.01.2009;1
09.12.2008;1,5
21.10.2008;2,25
08.10.2008;2,5
03.09.2008;3
15.07.2008;3
10.06.2008;3
22.04.2008;3
04.03.2008;3,5
22.01.2008;4
04.12.2007;4,25
16.10.2007;4,5
05.09.2007;4,5
10.07.2007;4,5
29.05.2007;4,25
