Date;rate
19.06.2025;0,0
20.03.2025;0,25
12.12.2024;0,5
26.09.2024;1,0
20.06.2024;1,5
21.03.2024;1,5
14.12.2023;1,75
21.09.2023;1,75
22.06.2023;1,75
23.03.2023;1,5
15.12.2022;1
22.09.2022;0,5
16.06.2022;-0,25
24.03.2022;-0,75
16.12.2021;-0,75
23.09.2021;-0,75
17.06.2021;-0,75
25.03.2021;-0,75
17.12.2020;-0,75
24.09.2020;-0,75
18.06.2020;-0,75
19.03.2020;-0,75
12.12.2019;-0,75
19.09.2019;-0,75
13.06.2019;-0,75
21.03.2019;-0,75
13.12.2018;-0,75
20.09.2018;-0,75
21.06.2018;-0,75
15.03.2018;-0,75
14.12.2017;-0,75
14.09.2017;-0,75
15.06.2017;-0,75
16.03.2017;-0,75
15.12.2016;-0,75
15.09.2016;-0,75
16.06.2016;-0,75
17.03.2016;-0,75
10.12.2015;-0,75
17.09.2015;-0,75
18.06.2015;-0,75
19.03.2015;-0,75
15.01.2015;-0,75
18.12.2014;-0,25
11.12.2014;0
18.09.2014;0
19.06.2014;0
20.03.2014;0
12.12.2013;0
19.09.2013;0
20.06.2013;0
14.03.2013;0
13.12.2012;0
13.09.2012;0
14.06.2012;0
15.03.2012;0
15.12.2011;0
15.09.2011;0
03.08.2011;0
16.06.2011;0,25
17.03.2011;0,25
16.12.2010;0,25
16.09.2010;0,25
17.06.2010;0,25
11.03.2010;0,25
10.12.2009;0,25
17.09.2009;0,25
18.06.2009;0,25
12.03.2009;0,25
11.12.2008;0,5
20.11.2008;1
06.11.2008;2
08.10.2008;2,5
18.09.2008;2,75
19.06.2008;2,75
13.03.2008;2,75
13.12.2007;2,75
13.09.2007;2,75
14.06.2007;2,5
15.03.2007;2,25
