Date;rate
11.09.2025;2,15
24.07.2025;2,15
05.06.2025;2,15
17.04.2025;2,4
05.03.2025;2,65
30.01.2025;2,9
12.12.2024;3,15
17.10.2024;3,4
12.09.2024;3,65
18.07.2024;4,25
06.06.2024;4,25
11.04.2024;4,5
07.03.2024;4,5
25.01.2024;4,5
14.12.2023;4,5
26.10.2023;4,5
14.09.2023;4,5
27.07.2023;4,25
15.06.2023;4,0
03.05.2023;3,75
16.03.2023;3,5
02.02.2023;3,0
15.12.2022;2,5
27.10.2022;2,0
08.09.2022;1,25
21.07.2022;0,5
09.06.2022;0,0
14.04.2022;0,0
10.03.2022;0,0
03.02.2022;0,0
16.12.2021;0,0
28.10.2021;0,0
09.09.2021;0,0
22.07.2021;0,0
10.06.2021;0,0
22.04.2021;0,0
11.03.2021;0,0
21.01.2021;0,0
10.12.2020;0,0
29.10.2020;0,0
10.09.2020;0,0
16.07.2020;0,0
04.06.2020;0,0
30.04.2020;0,0
12.03.2020;0,0
23.01.2020;0,0
12.12.2019;0,0
24.10.2019;0,0
12.09.2019;0,0
25.07.2019;0,0
06.06.2019;0,0
10.04.2019;0,0
07.03.2019;0,0
24.01.2019;0,0
13.12.2018;0,0
25.10.2018;0,0
13.09.2018;0,0
26.07.2018;0,0
14.06.2018;0,0
26.04.2018;0,0
08.03.2018;0,0
25.01.2018;0,0
14.12.2017;0,0
26.10.2017;0,0
07.09.2017;0,0
20.07.2017;0,0
08.06.2017;0,0
27.04.2017;0,0
09.03.2017;0,0
19.01.2017;0,0
08.12.2016;0,0
20.10.2016;0,0
08.09.2016;0,0
21.07.2016;0,0
02.06.2016;0,0
21.04.2016;0,0
10.03.2016;0,0
21.01.2016;0,05
03.12.2015;0,05
22.10.2015;0,05
03.09.2015;0,05
16.07.2015;0,05
03.06.2015;0,05
15.04.2015;0,05
05.03.2015;0,05
22.01.2015;0,05
04.12.2014;0,05
06.11.2014;0,05
02.10.2014;0,05
04.09.2014;0,05
07.08.2014;0,15
03.07.2014;0,15
05.06.2014;0,15
08.05.2014;0,25
03.04.2014;0,25
06.03.2014;0,25
06.02.2014;0,25
09.01.2014;0,25
05.12.2013;0,25
07.11.2013;0,25
02.10.2013;0,5
05.09.2013;0,5
01.08.2013;0,5
04.07.2013;0,5
06.06.2013;0,5
02.05.2013;0,5
04.04.2013;0,75
07.03.2013;0,75
07.02.2013;0,75
10.01.2013;0,75
06.12.2012;0,75
08.11.2012;0,75
04.10.2012;0,75
06.09.2012;0,75
02.08.2012;0,75
05.07.2012;0,75
06.06.2012;1
03.05.2012;1
04.04.2012;1
08.03.2012;1
09.02.2012;1
12.01.2012;1
08.12.2011;1
03.11.2011;1,25
06.10.2011;1,5
08.09.2011;1,5
04.08.2011;1,5
07.07.2011;1,5
09.06.2011;1,25
05.05.2011;1,25
07.04.2011;1,25
03.03.2011;1
03.02.2011;1
13.01.2011;1
02.12.2010;1
04.11.2010;1
07.10.2010;1
02.09.2010;1
05.08.2010;1
08.07.2010;1
10.06.2010;1
06.05.2010;1
08.04.2010;1
04.03.2010;1
04.02.2010;1
14.01.2010;1
03.12.2009;1
05.11.2009;1
08.10.2009;1
03.09.2009;1
06.08.2009;1
02.07.2009;1
04.06.2009;1
07.05.2009;1
02.04.2009;1,25
05.03.2009;1,5
05.02.2009;2
15.01.2009;2
04.12.2008;2,5
06.11.2008;3,25
08.10.2008;3,75
02.10.2008;4,25
04.09.2008;4,25
07.08.2008;4,25
03.07.2008;4,25
05.06.2008;4
08.05.2008;4
10.04.2008;4
06.03.2008;4
07.02.2008;4
10.01.2008;4
06.12.2007;4
08.11.2007;4
04.10.2007;4
06.09.2007;4
02.08.2007;4
05.07.2007;4
06.06.2007;4
10.05.2007;3,75
08.03.2007;3,75
