Date;rate
08.08.2025;4,0
19.06.2025;4,25
08.05.2025;4,25
20.03.2025;4,5
06.02.2025;4,5
19.12.2024;4,75
07.11.2024;4,75
19.09.2024;5,0
01.08.2024;5,0
20.06.2024;5,25
09.05.2024;5,25
21.03.2024;5,25
01.02.2024;5,25
14.12.2023;5,25
02.11.2023;5,25
21.09.2023;5,25
03.08.2023;5,25
22.06.2023;5,0
11.05.2023;4,5
23.03.2023;4,25
02.02.2023;4,0
15.12.2022;3,5
03.11.2022;3,0
22.09.2022;2,25
04.08.2022;1,75
16.06.2022;1,25
05.05.2022;1,0
17.03.2022;0,75
03.02.2022;0,5
16.12.2021;0,25
04.11.2021;0,1
23.09.2021;0,1
05.08.2021;0,1
24.06.2021;0,1
06.05.2021;0,1
18.03.2021;0,1
04.02.2021;0,1
17.12.2020;0,1
05.11.2020;0,1
17.09.2020;0,1
06.08.2020;0,1
18.06.2020;0,1
07.05.2020;0,1
26.03.2020;0,1
19.03.2020;0,1
11.03.2020;0,25
30.01.2020;0,75
19.12.2019;0,75
07.11.2019;0,75
19.09.2019;0,75
01.08.2019;0,75
20.06.2019;0,75
02.05.2019;0,75
21.03.2019;0,75
07.02.2019;0,75
20.12.2018;0,75
01.11.2018;0,75
13.09.2018;0,75
02.08.2018;0,75
21.06.2018;0,5
10.05.2018;0,5
22.03.2018;0,5
08.02.2018;0,5
14.12.2017;0,5
02.11.2017;0,5
14.09.2017;0,25
03.08.2017;0,25
15.06.2017;0,25
11.05.2017;0,25
16.03.2017;0,25
02.02.2017;0,25
15.12.2016;0,25
03.11.2016;0,25
15.09.2016;0,25
04.08.2016;0,25
14.07.2016;0,5
16.06.2016;0,5
12.05.2016;0,5
14.04.2016;0,5
17.03.2016;0,5
04.02.2016;0,5
14.01.2016;0,5
10.12.2015;0,5
05.11.2015;0,5
08.10.2015;0,5
10.09.2015;0,5
06.08.2015;0,5
09.07.2015;0,5
04.06.2015;0,5
11.05.2015;0,5
09.04.2015;0,5
05.03.2015;0,5
05.02.2015;0,5
08.01.2015;0,5
04.12.2014;0,5
06.11.2014;0,5
09.10.2014;0,5
04.09.2014;0,5
07.08.2014;0,5
10.07.2014;0,5
05.06.2014;0,5
08.05.2014;0,5
10.04.2014;0,5
06.03.2014;0,5
06.02.2014;0,5
09.01.2014;0,5
05.12.2013;0,5
07.11.2013;0,5
10.10.2013;0,5
05.09.2013;0,5
01.08.2013;0,5
04.07.2013;0,5
06.06.2013;0,5
09.05.2013;0,5
04.04.2013;0,5
07.03.2013;0,5
07.02.2013;0,5
10.01.2013;0,5
06.12.2012;0,5
08.11.2012;0,5
04.10.2012;0,5
06.09.2012;0,5
02.08.2012;0,5
05.07.2012;0,5
07.06.2012;0,5
10.05.2012;0,5
05.04.2012;0,5
08.03.2012;0,5
09.02.2012;0,5
12.01.2012;0,5
08.12.2011;0,5
10.11.2011;0,5
06.10.2011;0,5
08.09.2011;0,5
04.08.2011;0,5
07.07.2011;0,5
09.06.2011;0,5
05.05.2011;0,5
07.04.2011;0,5
10.03.2011;0,5
10.02.2011;0,5
13.01.2011;0,5
09.12.2010;0,5
04.11.2010;0,5
07.10.2010;0,5
09.09.2010;0,5
05.08.2010;0,5
08.07.2010;0,5
10.06.2010;0,5
10.05.2010;0,5
08.04.2010;0,5
04.03.2010;0,5
04.02.2010;0,5
07.01.2010;0,5
10.12.2009;0,5
05.11.2009;0,5
08.10.2009;0,5
10.09.2009;0,5
06.08.2009;0,5
09.07.2009;0,5
04.06.2009;0,5
07.05.2009;0,5
09.04.2009;0,5
05.03.2009;0,5
05.02.2009;1
08.01.2009;1,5
04.12.2008;2
06.11.2008;3
08.10.2008;4,5
04.09.2008;5
07.08.2008;5
10.07.2008;5
05.06.2008;5
08.05.2008;5
10.04.2008;5
06.03.2008;5,25
07.02.2008;5,25
10.01.2008;5,5
06.12.2007;5,5
08.11.2007;5,75
04.10.2007;5,75
06.09.2007;5,75
02.08.2007;5,75
05.07.2007;5,75
07.06.2007;5,5
10.05.2007;5,5
11.01.2007;5,25
