Date;rate
;
31.07.2025;0,5
17.06.2025;0,5
01.05.2025;0,5
19.03.2025;0,5
24.01.2025;0,5
19.12.2024;0,3
31.10.2024;0,3
20.09.2024;0,3
31.07.2024;0,1
14.06.2024;0,1
26.04.2024;0,1
19.03.2024;0,1
23.01.2024;-0,1
19.12.2023;-0,1
31.10.2023;-0,1
22.09.2023;-0,1
28.07.2023;-0,1
16.06.2023;-0,1
28.04.2023;-0,1
10.03.2023;-0,1
18.01.2023;-0,1
20.12.2022;-0,1
28.10.2022;-0,1
22.09.2022;-0,1
21.07.2022;-0,1
17.06.2022;-0,1
28.04.2022;-0,1
18.03.2022;-0,1
18.01.2022;-0,1
17.12.2021;-0,1
28.10.2021;-0,1
22.09.2021;-0,1
16.07.2021;-0,1
18.06.2021;-0,1
27.04.2021;-0,1
19.03.2021;-0,1
21.01.2021;-0,1
18.12.2020;-0,1
29.10.2020;-0,1
17.09.2020;-0,1
15.07.2020;-0,1
16.06.2020;-0,1
22.05.2020;-0,1
27.04.2020;-0,1
16.03.2020;-0,1
21.01.2020;-0,1
19.12.2019;-0,1
31.10.2019;-0,1
19.09.2019;-0,1
30.07.2019;-0,1
20.06.2019;-0,1
25.04.2019;-0,1
15.03.2019;-0,1
23.01.2019;-0,1
20.12.2018;-0,1
31.10.2018;-0,1
19.09.2018;-0,1
31.07.2018;-0,1
15.06.2018;-0,1
27.04.2018;-0,1
09.03.2018;-0,1
23.01.2018;-0,1
21.12.2017;-0,1
31.10.2017;-0,1
21.09.2017;-0,1
20.07.2017;-0,1
16.06.2017;-0,1
27.04.2017;-0,1
16.03.2017;-0,1
31.01.2017;-0,1
20.12.2016;-0,1
01.11.2016;-0,1
21.09.2016;-0,1
29.07.2016;-0,1
16.06.2016;-0,1
28.04.2016;-0,1
15.03.2016;-0,1
29.01.2016;-0,1
18.12.2015;0,1
19.11.2015;0,1
30.10.2015;0,1
07.10.2015;0,1
15.09.2015;0,1
07.08.2015;0,1
14.07.2015;0,1
18.06.2015;0,1
21.05.2015;0,1
30.04.2015;0,1
19.12.2014;0,1
19.11.2014;0,1
31.10.2014;0,1
07.10.2014;0,1
04.09.2014;0,1
08.08.2014;0,1
15.07.2014;0,1
13.06.2014;0,1
21.05.2014;0,1
30.04.2014;0,1
08.04.2014;0,1
11.03.2014;0,1
22.01.2014;0,1
20.12.2013;0,1
21.11.2013;0,1
31.10.2013;0,1
04.10.2013;0,1
05.09.2013;0,1
08.08.2013;0,1
11.07.2013;0,1
11.06.2013;0,1
22.05.2013;0,1
26.04.2013;0,1
04.04.2013;0,1
07.03.2013;0,1
14.02.2013;0,1
22.01.2013;0,1
20.12.2012;0,1
20.11.2012;0,1
30.10.2012;0,1
05.10.2012;0,1
19.09.2012;0,1
09.08.2012;0,1
12.07.2012;0,1
15.06.2012;0,1
23.05.2012;0,1
27.04.2012;0,1
10.04.2012;0,1
13.03.2012;0,1
14.02.2012;0,1
24.01.2012;0,1
21.12.2011;0,1
16.11.2011;0,1
27.10.2011;0,1
07.10.2011;0,1
07.09.2011;0,1
04.08.2011;0,1
12.07.2011;0,1
14.06.2011;0,1
20.05.2011;0,1
28.04.2011;0,1
07.04.2011;0,1
14.03.2011;0,1
15.02.2011;0,1
25.01.2011;0,1
21.12.2010;0,1
05.11.2010;0,1
28.10.2010;0,1
05.10.2010;0,1
07.09.2010;0,1
10.08.2010;0,1
15.07.2010;0,1
15.06.2010;0,1
21.05.2010;0,1
30.04.2010;0,1
07.04.2010;0,1
17.03.2010;0,1
18.02.2010;0,1
26.01.2010;0,1
18.12.2009;0,1
20.11.2009;0,1
30.10.2009;0,1
14.10.2009;0,1
17.09.2009;0,1
11.08.2009;0,1
15.07.2009;0,1
16.06.2009;0,1
22.05.2009;0,1
30.04.2009;0,1
07.04.2009;0,1
18.03.2009;0,1
19.02.2009;0,1
22.01.2009;0,1
19.12.2008;0,1
02.12.2008;0,3
21.11.2008;0,3
31.10.2008;0,3
14.10.2008;0,5
07.10.2008;0,5
17.09.2008;0,5
19.08.2008;0,5
15.07.2008;0,5
13.06.2008;0,5
20.05.2008;0,5
30.04.2008;0,5
09.04.2008;0,5
07.03.2008;0,5
15.02.2008;0,5
22.01.2008;0,5
20.12.2007;0,5
13.11.2007;0,5
31.10.2007;0,5
11.10.2007;0,5
19.09.2007;0,5
23.08.2007;0,5
12.07.2007;0,5
15.06.2007;0,5
17.05.2007;0,5
21.02.2007;0,5
