Date;rate
09.07.2025;3,25
28.05.2025;3,25
09.04.2025;3,5
19.02.2025;3,75
27.11.2024;4,25
09.10.2024;4,75
14.08.2024;5,25
10.06.2024;5,5
22.05.2024;5,5
10.04.2024;5,5
28.02.2024;5,5
29.11.2023;5,5
04.10.2023;5,5
16.08.2023;5,5
12.07.2023;5,5
24.05.2023;5,5
05.04.2023;5,25
22.02.2023;4,75
23.11.2022;4,25
05.10.2022;3,5
17.08.2022;3
13.07.2022;2,5
25.05.2022;2
13.04.2022;1,5
23.02.2022;1
24.11.2021;0,75
06.10.2021;0,5
18.08.2021;0,25
14.07.2021;0,25
26.05.2021;0,25
14.04.2021;0,25
24.02.2021;0,25
11.11.2020;0,25
23.09.2020;0,25
12.08.2020;0,25
24.06.2020;0,25
13.05.2020;0,25
15.03.2020;0,25
12.02.2020;1
13.11.2019;1
25.09.2019;1
07.08.2019;1
26.06.2019;1,5
08.05.2019;1,5
27.03.2019;1,75
13.02.2019;1,75
07.11.2018;1,75
26.09.2018;1,75
08.08.2018;1,75
27.06.2018;1,75
09.05.2018;1,75
21.03.2018;1,75
07.02.2018;1,75
08.11.2017;1,75
27.09.2017;1,75
09.08.2017;1,75
21.06.2017;1,75
10.05.2017;1,75
22.03.2017;1,75
08.02.2017;1,75
09.11.2016;1,75
21.09.2016;2
10.08.2016;2
08.06.2016;2,25
27.04.2016;2,25
09.03.2016;2,25
27.01.2016;2,5
09.12.2015;2,5
28.10.2015;2,75
09.09.2015;2,75
22.07.2015;3
10.06.2015;3,25
29.04.2015;3,5
11.03.2015;3,5
28.01.2015;3,5
10.12.2014;3,5
29.10.2014;3,5
10.09.2014;3,5
23.07.2014;3,5
11.06.2014;3,25
23.04.2014;3
12.03.2014;2,75
29.01.2014;2,5
11.12.2013;2,5
30.10.2013;2,5
11.09.2013;2,5
24.07.2013;2,5
12.06.2013;2,5
23.04.2013;2,5
13.03.2013;2,5
30.01.2013;2,5
05.12.2012;2,5
24.10.2012;2,5
12.09.2012;2,5
25.07.2012;2,5
13.06.2012;2,5
25.04.2012;2,5
07.03.2012;2,5
25.01.2012;2,5
07.12.2011;2,5
26.10.2011;2,5
14.09.2011;2,5
27.07.2011;2,5
08.06.2011;2,5
27.04.2011;2,5
09.03.2011;2,5
26.01.2011;3
08.12.2010;3
27.10.2010;3
15.09.2010;3
28.07.2010;3
09.06.2010;2,75
28.04.2010;2,5
10.03.2010;2,5
27.01.2010;2,5
09.12.2009;2,5
28.10.2009;2,5
09.09.2009;2,5
10.06.2009;2,5
30.04.2009;2,5
29.04.2009;2,5
11.03.2009;3
28.01.2009;3,5
03.12.2008;5
22.10.2008;6,5
10.09.2008;7,5
23.07.2008;8
04.06.2008;8,25
23.04.2008;8,25
05.03.2008;8,25
23.01.2008;8,25
05.12.2007;8,25
24.10.2007;8,25
12.09.2007;8,25
25.07.2007;8,25
06.06.2007;8
26.04.2007;7,75
