Date;rate
30.07.2025;4,5
18.06.2025;4,5
07.05.2025;4,5
19.03.2025;4,5
29.01.2025;4,5
18.12.2024;4,5
06.11.2024;4,75
18.09.2024;5,0
31.07.2024;5,5
12.06.2024;5,5
01.05.2024;5,5
20.03.2024;5,5
31.01.2024;5,5
13.12.2023;5,5
01.11.2023;5,5
20.09.2023;5,5
26.07.2023;5,5
14.06.2023;5,25
04.05.2023;5,25
22.03.2023;5,0
01.02.2023;4,75
14.12.2022;4,5
02.11.2022;4,0
21.09.2022;3,25
27.07.2022;2,5
15.06.2022;1,75
04.05.2022;1,0
16.03.2022;0,5
26.01.2022;0,25
15.12.2021;0,25
03.11.2021;0,25
22.09.2021;0,25
28.07.2021;0,25
16.06.2021;0,25
28.04.2021;0,25
17.03.2021;0,25
27.01.2021;0,25
16.12.2020;0,25
05.11.2020;0,25
16.09.2020;0,25
29.07.2020;0,25
10.06.2020;0,25
29.04.2020;0,25
15.03.2020;0,25
03.03.2020;1,25
29.01.2020;1,75
11.12.2019;1,75
30.10.2019;1,75
18.09.2019;2
31.07.2019;2,25
19.06.2019;2,5
01.05.2019;2,5
20.03.2019;2,5
30.01.2019;2,5
19.12.2018;2,5
08.11.2018;2,25
26.09.2018;2,25
01.08.2018;2
13.06.2018;2
02.05.2018;1,75
21.03.2018;1,75
31.01.2018;1,5
13.12.2017;1,5
01.11.2017;1,25
20.09.2017;1,25
26.07.2017;1,25
14.06.2017;1,25
03.05.2017;1
15.03.2017;1
01.02.2017;0,75
14.12.2016;0,75
02.11.2016;0,5
21.09.2016;0,5
27.07.2016;0,5
15.06.2016;0,5
27.04.2016;0,5
16.03.2016;0,5
27.01.2016;0,5
16.12.2015;0,5
28.10.2015;0,25
17.09.2015;0,25
29.07.2015;0,25
17.06.2015;0,25
29.04.2015;0,25
18.03.2015;0,25
28.01.2015;0,25
17.12.2014;0,25
29.10.2014;0,25
17.09.2014;0,25
30.07.2014;0,25
18.06.2014;0,25
30.04.2014;0,25
19.03.2014;0,25
29.01.2014;0,25
18.12.2013;0,25
30.10.2013;0,25
18.09.2013;0,25
31.07.2013;0,25
19.06.2013;0,25
01.05.2013;0,25
20.03.2013;0,25
30.01.2013;0,25
12.12.2012;0,25
24.10.2012;0,25
13.09.2012;0,25
01.08.2012;0,25
20.06.2012;0,25
25.04.2012;0,25
13.03.2012;0,25
25.01.2012;0,25
13.12.2011;0,25
02.11.2011;0,25
21.09.2011;0,25
09.08.2011;0,25
22.06.2011;0,25
27.04.2011;0,25
15.03.2011;0,25
26.01.2011;0,25
14.12.2010;0,25
03.11.2010;0,25
21.09.2010;0,25
10.08.2010;0,25
23.06.2010;0,25
28.04.2010;0,25
16.03.2010;0,25
27.01.2010;0,25
16.12.2009;0,25
04.11.2009;0,25
23.09.2009;0,25
12.08.2009;0,25
24.06.2009;0,25
29.04.2009;0,25
18.03.2009;0,25
28.01.2009;0,25
16.12.2008;0,25
29.10.2008;1
08.10.2008;1,5
16.09.2008;2
05.08.2008;2
25.06.2008;2
30.04.2008;2
18.03.2008;2,25
30.01.2008;3
22.01.2008;3,5
11.12.2007;4,25
31.10.2007;4,5
18.09.2007;4,75
07.08.2007;5,25
28.06.2007;5,25
09.05.2007;5,25
