Date;cpi;cpi_Fore;CPI_M;CPI_M_Fore
30.07.2025;2,1;;;
30.04.2025;2,4;;;
29.01.2025;2,4;;0,2;
30.10.2024;2,8;1,8;0,2;0,6
31.07.2024;3,8;2,8;1;1
24.04.2024;3,6;2,7;1;0,8
31.01.2024;4,1;3,4;0,6;0,9
25.10.2023;5,4;4,3;1,2;1,6
26.07.2023;6;5,1;0,8;1,7
26.04.2023;7;6;1,4;2
25.01.2023;7,8;7,1;1,9;2
26.10.2022;7,3;7,2;1,8;1,7
27.07.2022;6,1;6,6;1,8;1,5
27.04.2022;5,1;4,4;2,1;0,8
25.01.2022;3,5;2;1,3;0,5
27.10.2021;3;2,1;0,8;0,3
28.07.2021;3,8;2,7;0,8;-0,4
28.04.2021;1,1;1,3;0,6;-0,5
27.01.2021;0,9;1,3;0,9;0
28.10.2020;0,7;0,2;1,6;1,3
29.07.2020;-0,3;-0,8;-1,9;-1,6
29.04.2020;2,2;2;0,3;0,1
29.01.2020;1,8;1,7;0,7;0,1
30.10.2019;1,7;2,1;0,5;0,5
31.07.2019;1,6;1,8;0,6;0,6
24.04.2019;1,3;1,4;0;0,4
30.01.2019;1,8;2;0,5;0,4
31.10.2018;1,9;1,2;0,4;0,3
25.07.2018;2,1;2;0,4;0,4
24.04.2018;1,9;1,3;0,4;0,2
31.01.2018;1,9;1,3;0,6;0,4
25.10.2017;1,8;1,3;0,6;0,4
26.07.2017;1,9;;0,2;
26.04.2017;2,1;;0,5;
25.01.2017;1,5;;0,5;
26.10.2016;1,3;;0,7;
27.07.2016;1;;0,4;
27.04.2016;1,3;;-0,2;
27.01.2016;1,7;;0,4;
28.10.2015;1,5;;0,5;
22.07.2015;1,5;;0,7;
22.04.2015;1,3;;0,2;
28.01.2015;1,7;;0,2;
22.10.2014;2,3;;0,5;
23.07.2014;3;;0,5;
23.04.2014;2,9;;0,6;
22.01.2014;2,7;;0,8;
23.10.2013;2,2;;1,2;
24.07.2013;2,4;;0,4;
24.04.2013;2,5;;0,4;
23.01.2013;2,2;;0,2;
24.10.2012;2;;1,4;
25.07.2012;1,2;;0,5;
24.04.2012;1,6;;0,1;
25.01.2012;3,1;;0;
26.10.2011;3,5;;0,6;
27.07.2011;3,6;;0,9;
27.04.2011;3,3;;1,6;
25.01.2011;2,7;;0,4;
27.10.2010;2,8;;0,7;
28.07.2010;3,1;;0,6;
28.04.2010;2,9;;0,9;
27.01.2010;2,1;;0,5;
28.10.2009;1,3;;1;
22.07.2009;1,5;;0,5;
22.04.2009;2,5;;0,1;
28.01.2009;3,7;;-0,3;
22.10.2008;5;;1,2;
23.07.2008;4,5;;1,5;
23.04.2008;4,2;;1,3;
23.01.2008;3;;0,9;
24.10.2007;1,9;;0,7;
25.07.2007;2,1;;1,2;
26.04.2007;2,4;;0,1;
25.04.2007;2,4;;0,1;
24.04.2007;2,4;;0,1;
