Date;cpi;cpi_Fore;CPI_M;CPI_M_Fore
16.09.2025;1,9;;;
19.08.2025;1,7;;;
15.07.2025;1,9;;;
24.06.2025;1,7;;;
20.05.2025;1,7;;;
15.04.2025;2,3;;;
18.03.2025;2,6;;;
18.02.2025;2,1;2,0;0,4;0,1
21.01.2025;1,8;1,6;-0,4;0,1
17.12.2024;1,9;1,4;0,0;-0,5
19.11.2024;2,0;1,5;0,4;0,1
15.10.2024;1,6;1,8;-0,4;-0,1
17.09.2024;2,0;2,1;-0,2;0,1
20.08.2024;2,5;1,7;0,4;0,3
16.07.2024;2,7;1,7;-0,1;0,1
25.06.2024;2,9;3,2;0,6;0,6
21.05.2024;2,7;3,5;0,5;0,6
16.04.2024;2,9;2,3;0,6;0,4
19.03.2024;2,8;3,3;0,3;0,2
20.02.2024;2,9;2,3;0,0;-0,2
16.01.2024;3,4;3,3;-0,3;-0,1
19.12.2023;3,1;3,6;0,1;0,0
21.11.2023;3,1;2,4;0,1;0,2
17.10.2023;3,8;3,8;-0,1;0,2
19.09.2023;4,0;4,3;0,4;0,2
15.08.2023;3,3;3,5;0,6;0,2
18.07.2023;2,8;2,7;0,1;0,4
27.06.2023;3,4;2,9;0,4;0,6
16.05.2023;4,4;4,2;0,7;0,7
18.04.2023;4,3;3,7;0,5;0,9
21.03.2023;5,2;4,7;0,4;0,8
21.02.2023;5,9;5,5;0,5;0,4
17.01.2023;6,3;5,7;-0,6;0,2
21.12.2022;6,8;6,9;0,1;0,4
16.11.2022;6,9;7,4;0,7;0,4
19.10.2022;6,9;6,8;0,1;0,2
20.09.2022;7;6,4;-0,3;0,5
16.08.2022;7,6;8;0,1;0,9
20.07.2022;8,1;9,2;0,7;1,1
22.06.2022;7,7;8,8;1,4;1,1
18.05.2022;6,8;7,5;0,6;0,9
20.04.2022;6,7;6,3;1,4;0,7
16.03.2022;5,7;4,9;1;0,5
16.02.2022;5,1;5,1;0,9;0,6
19.01.2022;4,8;5,7;-0,1;0,5
15.12.2021;4,7;5,5;0,2;0,3
17.11.2021;4,7;4,5;0,7;0,3
20.10.2021;4,4;3,5;0,2;0,3
15.09.2021;4,1;3,8;0,2;0,3
18.08.2021;3,7;3,2;0,6;0,2
28.07.2021;3,1;2,7;0,3;0,2
16.06.2021;3,6;3,5;0,5;0,1
19.05.2021;3,4;2,8;0,5;0,3
21.04.2021;2,2;1,7;0,5;-0,2
17.03.2021;1,1;1;0,5;-0,2
17.02.2021;1;0,5;0,6;0,3
20.01.2021;0,7;-0,2;-0,2;0,2
16.12.2020;1;1;0,1;-0,1
18.11.2020;0,7;1,3;0,4;0,1
21.10.2020;0,5;0,5;-0,1;-0,2
