Date;cpi;cpi_Fore;CPI_M;CPI_M_Fore
04.09.2025;0,2;;;
04.08.2025;0,2;;;
03.07.2025;0,1;;;
03.06.2025;-0,1;;;
05.05.2025;0;;;
03.04.2025;0,3;;;
05.03.2025;0,3;0,1;0,6;0,5
13.02.2025;0,4;0,5;-0,1;0,1
07.01.2025;0,6;0,7;-0,1;0,2
03.12.2024;0,7;0,8;-0,1;-0,1
01.11.2024;0,6;1,2;-0,1;-0,1
03.10.2024;0,8;0,9;-0,3;0,0
03.09.2024;1,1;1,2;0,0;-0,2
02.08.2024;1,3;1,3;-0,2;0,1
03.07.2024;1,3;1,4;0,0;0,0
04.06.2024;1,4;1,7;0,3;0,2
02.05.2024;1,4;1,5;0,3;0,1
04.04.2024;1;0,8;0,0;-0,1
04.03.2024;1,2;1;0,6;0,3
13.02.2024;1,3;1,1;0,2;0,5
08.01.2024;1,7;1,8;0,0;0,3
04.12.2023;1,4;1,1;-0,2;-0,1
02.11.2023;1,7;1,8;0,1;0,1
03.10.2023;1,7;1,8;-0,1;-0,1
01.09.2023;1,6;1,5;0,2;-0,2
03.08.2023;1,6;1,6;-0,1;0,1
03.07.2023;1,7;1,5;0,1;-0,1
05.06.2023;2,2;1,7;0,3;0,1
05.05.2023;2,6;2,1;0,0;0,4
03.04.2023;2,9;2,8;0,2;0,5
06.03.2023;3,4;3,6;0,7;0,5
13.02.2023;3,3;2,9;0,6;0,8
04.01.2023;2,8;2,5;-0,2;0,0
01.12.2022;3;3,4;0,0;0,0
03.11.2022;3;2,6;0,1;0,2
03.10.2022;3,3;2,9;-0,2;0,2
01.09.2022;3,5;3,5;0,3;0,4
03.08.2022;3,4;3,8;0,0;0,4
04.07.2022;3,4;3,7;0,5;0,4
02.06.2022;2,9;3;0,7;0,4
05.05.2022;2,5;2,8;0,4;0,4
01.04.2022;2,4;2,5;0,6;0,2
03.03.2022;2,2;2,5;0,7;0,3
11.02.2022;1,6;1,8;0,2;0,1
04.01.2022;1,5;1,3;-0,1;0,0
01.12.2021;1,5;1,5;0,0;0,0
02.11.2021;1,2;1,5;0,3;-0,1
04.10.2021;0,9;0,7;0,0;-0,1
02.09.2021;0,9;0,9;0,2;0,0
02.08.2021;0,7;0,5;-0,1;0,0
01.07.2021;0,6;0,6;0,1;-0,1
07.06.2021;0,6;0,5;0,3;0,0
05.05.2021;0,3;0,7;0,2;0,0
01.04.2021;-0,2;0,0;0,3;0,0
03.03.2021;-0,5;-0,3;0,2;0,2
12.02.2021;-0,5;-0,5;0,1;0,2
05.01.2021;-0,8;-1;-0,1;-0,2
02.12.2020;-0,7;-0,6;-0,2;0,0
03.11.2020;-0,6;-0,4;0,0;0,0
