Date;cpi;cpi_Fore;CPI_M;CPI_M_Fore
20.08.2025;2,0;;;
17.07.2025;2,0;;;
18.06.2025;1,9;;;
19.05.2025;2,2;;;
16.04.2025;2,2;;;
19.03.2025;2,3;;;
24.02.2025;2,5;;;
17.01.2025;2,4;2,3;0,4;-0,1
18.12.2024;2,2;2,4;-0,3;0,4
19.11.2024;2,0;2,2;0,3;-0,3
17.10.2024;2,0;2,0;0,3;0,2
18.09.2024;2,2;1,7;0,1;-0,1
20.08.2024;2,6;2,2;0,0;0,2
17.07.2024;2,5;2,6;0,2;0,0
18.06.2024;2,6;2,5;0,2;0,2
17.05.2024;2,4;2,5;0,6;0,1
17.04.2024;2,4;1,7;0,8;1,4
18.03.2024;2,6;2,6;0,6;0,2
22.02.2024;2,8;2,8;-0,4;-0,2
17.01.2024;2,9;2,8;0,2;-0,2
19.12.2023;2,4;1,9;-0,6;-0,1
17.11.2023;2,9;2,4;0,1;0,1
18.10.2023;4,3;4;0,3;0,3
19.09.2023;5,2;5,5;0,5;0,6
18.08.2023;5,3;5;-0,1;-0,1
19.07.2023;5,5;5;0,3;0,3
16.06.2023;6,1;5,1;0,4;0,3
17.05.2023;7;7;0,6;0,6
19.04.2023;6,9;6,3;0,9;0,9
17.03.2023;8,5;8,4;0,8;0,8
23.02.2023;8,6;8,2;-0,2;-0,3
18.01.2023;9,2;9;-0,4;-0,3
16.12.2022;10,1;10,5;-0,1;0,8
17.11.2022;10,6;11,2;1,5;1,5
19.10.2022;9,9;10,4;1,2;0,6
16.09.2022;9,1;9,5;0,6;1,2
18.08.2022;8,9;9,4;0,1;1,1
19.07.2022;8,6;9,1;0,8;0,3
17.06.2022;8,1;8,6;0,8;1,7
18.05.2022;7,4;7,9;0,6;0,6
21.04.2022;7,4;8;2,4;1,8
17.03.2022;5,9;6,3;0,9;0,9
23.02.2022;5,1;5,1;0,3;0,4
20.01.2022;5;5;0,4;0,8
17.12.2021;4,9;5,3;0,4;0,6
17.11.2021;4,1;4,4;0,8;0,0
29.10.2021;4,1;4,1;0,5;0,0
20.10.2021;3,4;3,6;0,4;0,1
17.09.2021;3;3,1;-0,1;-0,1
18.08.2021;2,2;2,2;0,3;0,1
16.07.2021;1,9;1,9;0,3;0,0
17.06.2021;2;2;0,6;-0,2
19.05.2021;1,6;1,6;0,9;0,1
16.04.2021;1,3;1,3;0,2;0,0
17.03.2021;0,9;0,8;0,2;-0,1
23.02.2021;0,9;1,3;0,3;0,1
20.01.2021;-0,3;-0,5;-0,3;0,1
17.12.2020;-0,3;-0,4;0,2;-0,1
18.11.2020;-0,3;0,0;0,1;0,0
30.10.2020;-0,3;-0,3;-0,4;0,3
16.10.2020;-0,3;-0,4;-0,4;-0,1
02.10.2020;-0,3;-0,3;0,3;-0,1
17.09.2020;-0,2;-0,6;-0,1;-0,3
01.09.2020;-0,2;-0,2;0,3;0,0
19.08.2020;0,4;0,5;0,5;0,3
31.07.2020;0,4;0,4;0,2;-0,4
17.07.2020;0,3;0,4;-1;-0,1
30.06.2020;0,3;0,3;0,3;1,1
17.06.2020;0,1;0,1;-0,3;-0,6
29.05.2020;0,1;0,1;0,1;-0,2
20.05.2020;0,3;0,3;0,2;0,1
30.04.2020;0,4;0,4;0,1;0,6
17.04.2020;0,7;0,7;-0,5;0,3
31.03.2020;0,7;0,7;0,2;-0,5
18.03.2020;1,2;1,2;0,1;0,2
03.03.2020;1,2;1,2;0,7;0,4
21.02.2020;1,4;1,3;1;0,8
31.01.2020;1,4;1,4;0,3;0,1
17.01.2020;1,3;1,4;-1;0,1
07.01.2020;1,3;1,3;0;0,2
18.12.2019;1;1;-0,2;0,1
29.11.2019;1;1;0,2;0
15.11.2019;0,7;0,7;0,5;0,5
31.10.2019;0,7;0,7;0,2;0,2
16.10.2019;0,8;0,8;-0,3;-0,5
01.10.2019;0,9;0,9;0,1;0
18.09.2019;1;1;0,5;0
30.08.2019;1;1;0,3;0,2
19.08.2019;1;1;1;0,9
31.07.2019;1,1;1,1;0,2;0,9
17.07.2019;1,3;1,2;-0,9;0,4
28.06.2019;1,2;1,2;0,4;-1
18.06.2019;1,2;1,2;0,1;0,4
04.06.2019;1,2;1,2;0,1;-0,2
17.05.2019;1,7;1,7;0,4;0,2
03.05.2019;1,7;1,7;0,3;0,4
17.04.2019;1,4;1,4;-0,5;-0,6
01.04.2019;1,4;1,4;0;-0,6
15.03.2019;1,5;1,5;-0,1;0,1
01.03.2019;1,5;1,5;0,4;0,2
22.02.2019;1,4;1,4;0,8;0,2
01.02.2019;1,4;1,4;0,4;
17.01.2019;1,6;1,6;-0,8;
04.01.2019;1,6;1,7;0,5;
17.12.2018;1,9;2;-0,1;
30.11.2018;2;2,1;0,2;
16.11.2018;2,2;2,2;0,4;
31.10.2018;2,2;2,2;0,1;
17.10.2018;2,1;2,1;-0,6;
28.09.2018;2,1;2,1;0,2;
17.09.2018;2;2;0,4;
31.08.2018;2;2,1;0;
17.08.2018;2,1;2,1;1,2;
31.07.2018;2,1;2,1;0,2;
18.07.2018;2;2;-1,4;
29.06.2018;2;2;0;
15.06.2018;1,9;1,9;-0,1;
31.05.2018;1,9;1,6;0,1;
16.05.2018;1,2;1,2;0,2;
03.05.2018;1,2;1,1;0;
18.04.2018;1,3;1,4;-0,6;
04.04.2018;1,4;1,6;0;
16.03.2018;1,1;1;0,2;
28.02.2018;1,2;1,2;0,2;
23.02.2018;1,3;1,3;1,1;
31.01.2018;1,3;1,3;0,6;
17.01.2018;1,4;1,2;-1,6;
05.01.2018;1,4;1,4;-0,1;
18.12.2017;1,5;1,5;-0,2;
30.11.2017;1,5;1,7;0;
16.11.2017;1,4;1,4;0,4;
31.10.2017;1,4;1,4;0,1;
17.10.2017;1,5;1,5;-0,7;
29.09.2017;1,5;1,5;0,1;
18.09.2017;1,5;1,5;-0,1;
31.08.2017;1,5;1,4;0,2;
17.08.2017;1,3;1,3;0,9;
31.07.2017;1,3;1,3;0,3;
17.07.2017;1,3;1,3;-1,1;
30.06.2017;1,3;1,4;0,3;
16.06.2017;1,4;1,4;-0,1;
31.05.2017;1,4;1,7;-0,1;
17.05.2017;1,9;1,9;0,5;
28.04.2017;1,9;1,7;0,1;
19.04.2017;1,5;;-0,5;
31.03.2017;1,5;;0,1;
