Date;cpi;cpi_Fore;CPI_M;CPI_M_Fore
20.08.2025;3,8;;;
16.07.2025;3,6;;;
18.06.2025;3,4;;;
21.05.2025;3,5;;;
16.04.2025;2,6;;;
26.03.2025;2,8;;;
19.02.2025;3,0;;-0,1;
15.01.2025;2,5;;0,3;
18.12.2024;2,6;2,6;0,1;0,2
20.11.2024;2,3;2,6;0,6;0,1
16.10.2024;1,7;2,2;0,0;0,2
18.09.2024;2,2;3,4;0,3;0,1
14.08.2024;2,2;;-0,2;-0,1
17.07.2024;2,2;3,4;0,1;0,1
18.06.2024;2,0;2,6;0,3;0,2
22.05.2024;2,3;2,9;0,3;0,1
17.04.2024;3,2;2,9;0,6;0,2
20.03.2024;3,4;2,9;0,6;0,1
14.02.2024;4,0;3,0;-0,6;0,1
17.01.2024;4,0;3,2;0,4;
20.12.2023;3,9;3,7;-0,2;0,0
15.11.2023;4,6;4,5;0,0;0,3
18.10.2023;6,7;5,6;0,5;1,2
20.09.2023;6,7;5,6;0,3;0,5
16.08.2023;6,8;6,1;-0,4;0,5
19.07.2023;7,9;7,3;0,1;-0,2
21.06.2023;8,7;7,9;0,7;0,9
24.05.2023;8,7;8,6;1,2;0,5
19.04.2023;10,1;10,4;0,8;1,7
22.03.2023;10,4;10,0;1,1;0,4
15.02.2023;10,1;9,8;-0,6;0,2
18.01.2023;10,5;10,2;0,4;0,4
14.12.2022;10,7;11,3;0,4;1,2
16.11.2022;11,1;11,5;2,0;1,2
19.10.2022;10,1;10,3;0,5;1,3
14.09.2022;9,9;10,8;0,5;1,3
17.08.2022;10,1;11,0;0,6;1,2
20.07.2022;9,4;9,8;0,8;0
22.06.2022;9,1;9,6;0,7;0,4
18.05.2022;9;9,8;2,5;1,9
13.04.2022;7;7,3;1,1;0,9
23.03.2022;6,2;6,6;0,8;0,3
16.02.2022;5,5;6;-0,1;0,5
19.01.2022;5,4;6,1;0,5;0,1
15.12.2021;5,1;5,7;0,7;0,5
17.11.2021;4,2;4,3;1,1;0,5
20.10.2021;3,1;3,6;0,3;0
15.09.2021;3,2;3,4;0,7;0,4
18.08.2021;2;1,7;0;-0,1
14.07.2021;2,5;2,5;0,5;0,3
16.06.2021;2,1;2,5;0,6;0,1
19.05.2021;1,5;1,8;0,6;0,2
21.04.2021;0,7;0,7;0,3;-0,1
24.03.2021;0,4;0,3;0,1;0
17.02.2021;0,7;0,6;-0,2;0,3
20.01.2021;0,6;0,2;0,3;-0,2
16.12.2020;0,3;0,5;-0,1;0
18.11.2020;0,7;0,8;0;0,2
21.10.2020;0,5;0,3;0,4;-0,1
16.09.2020;0,2;0,3;-0,4;0
19.08.2020;1;1,3;0,4;0,4
15.07.2020;0,6;0,2;0,1;-0,1
17.06.2020;0,5;0,1;0;-0,1
20.05.2020;0,8;0,4;-0,2;-0,1
22.04.2020;1,5;1,5;0;0,6
25.03.2020;1,7;1,9;0,4;0,2
19.02.2020;1,8;1,8;-0,3;0,5
15.01.2020;1,3;1,3;0;-0,8
18.12.2019;1,5;1,5;0,2;0,2
13.11.2019;1,5;1,5;-0,2;0
16.10.2019;1,7;1,6;0,1;0
18.09.2019;1,7;1,6;0,4;0
14.08.2019;2,1;2;0;0,7
17.07.2019;2;2;0;0
