Date;cpi;cpi_Fore;CPI_M;CPI_M_Fore
21.08.2025;3,1;;;
17.07.2025;3,3;;;
19.06.2025;3,5;;;
22.05.2025;3,6;;;
17.04.2025;3,6;;;
20.03.2025;3,7;;;
20.02.2025;4,0;;;
23.01.2025;3,6;;0,6;
19.12.2024;2,9;2,8;0,6;
21.11.2024;2,3;2,6;0,4;
18.10.2024;2,5;2,6;-0,3;
20.09.2024;3,0;2,9;0,5;
23.08.2024;2,8;2,4;0,2;
18.07.2024;2,8;2,7;0,3;
20.06.2024;2,8;2,4;0,4;0,2
23.05.2024;2,5;2,3;0,4;0,2
18.04.2024;2,7;2,8;0,3;0,2
21.03.2024;2,8;2,5;0;0
26.02.2024;2,2;1,9;0,1;0
18.01.2024;2,6;2,5;-0,1;0,1
21.12.2023;2,8;2,8;-0,2;-0,1
23.11.2023;3,3;3;0,9;0,7
19.10.2023;3;2,8;0,3;0,3
21.09.2023;3,2;3,2;0,3;0,2
17.08.2023;3,3;3,3;0,5;0,4
20.07.2023;3,3;2,5;0,1;0,2
22.06.2023;3,2;3,5;0,1;0
18.05.2023;3,5;4,1;0,6;0,6
20.04.2023;3,2;2,5;0,4;0,3
23.03.2023;3,3;2,6;-0,6;-0,6
23.02.2023;4,3;4,1;0,5;0,4
19.01.2023;4;4,5;0,2;0,3
22.12.2022;3,8;4,4;0,2;0,3
17.11.2022;3,7;3,7;0,6;0,6
20.10.2022;3;2,7;0,4;0,3
19.09.2022;3;3,1;0,4;0,3
18.08.2022;2,6;2,6;0,5;0,4
21.07.2022;2,4;2,2;0;0,1
23.06.2022;2,5;0;0,3;0,2
19.05.2022;2,5;2,9;0,4;0,4
21.04.2022;1,2;1,5;0,4;0,4
17.03.2022;0,9;1,3;0,4;0,5
17.02.2022;0,5;0,3;0,3;0,1
20.01.2022;0,8;0,6;0;0,1
23.12.2021;0,6;0,6;0,2;0,3
18.11.2021;0,1;0,6;-0,2;-0,3
21.10.2021;0,2;0,5;0,4;0,4
