Date;cpi;cpi_Fore;CPI_M;CPI_M_Fore
21.07.2025;2,7;;;
16.04.2025;2,5;;;
21.01.2025;2,2;;0,5;
16.10.2024;2,2;1,4;0,6;0,5
10.09.2024;3,3;2,0;0,4;1,2
10.08.2024;3,3;2,7;0,4;0,2
17.07.2024;3,3;2,7;0,4;0,2
16.04.2024;4;2,7;0,6;0,5
23.01.2024;4,7;4,2;0,5;1,1
16.10.2023;5,6;5,2;1,8;1,4
18.07.2023;6;5;1,1;1
19.04.2023;6,7;5,4;1,2;1,4
24.01.2023;7,2;7,5;1,4;2
17.10.2022;7,2;7,1;2,2;2,4
17.07.2022;7,3;7,3;1,7;1,7
20.04.2022;6,9;8;1,8;1,7
26.01.2022;5,9;6,4;1,4;1,7
17.10.2021;4,9;4,1;2,2;2,2
15.07.2021;3,3;2,6;1,3;0,7
20.04.2021;1,5;1,8;0,8;0,6
21.01.2021;1,4;1,9;0,5;0,6
22.10.2020;1,4;1,9;0,7;0,4
15.07.2020;1,5;2,2;-0,5;0,2
19.04.2020;2,5;2,3;0,8;0,5
23.01.2020;1,9;3,6;0,5;0,3
15.10.2019;1,5;2,2;0,7;0,1
15.07.2019;1,7;2,2;0,6;0,7
16.04.2019;1,5;-0,1;0,1;0,9
22.01.2019;1,9;1,3;0,1;-0,1
15.10.2018;1,9;1,2;0,9;0,6
16.07.2018;1,5;;0,4;
18.04.2018;1,1;;0,5;
24.01.2018;1,6;;0,1;
16.10.2017;1,9;;0,5;
17.07.2017;1,7;;0;
19.04.2017;2,2;;1;
25.01.2017;1,3;;0,4;
17.10.2016;0,4;;0,3;
17.07.2016;0,4;;0,4;
17.04.2016;0,4;;0,2;
19.01.2016;0,1;;-0,5;
15.10.2015;0,4;;0,3;
15.07.2015;0,3;;0,4;
19.04.2015;0,1;;-0,3;
20.01.2015;0,8;;-0,2;
22.10.2014;1;;0,3;
15.07.2014;1,6;;0,3;
15.04.2014;1,5;;0,3;
20.01.2014;1,6;;0,1;
15.10.2013;1,4;;0,9;
15.07.2013;0,7;;0,2;
16.04.2013;0,9;;0,4;
17.01.2013;0,9;;-0,2;
15.10.2012;0,8;;0,3;
17.07.2012;1;;0,3;
21.04.2012;1,6;;0,5;
20.04.2012;1,6;;-0,3;
19.04.2012;1,6;;0,4;
