Date;cpi;cpi_Fore;CPI_M;CPI_M_Fore
11.09.2025;2,9;;;
12.08.2025;2,7;;;
15.07.2025;2,7;;;
11.06.2025;2,4;;;
13.05.2025;2,3;;;
10.04.2025;2,4;;;
12.03.2025;2,8;;;
12.02.2025;3,0;2,9;0,5;0,6
15.01.2025;2,9;3,0;0,4;0,4
11.12.2024;2,7;2,5;0,3;0,3
13.11.2024;2,6;2,3;0,2;0,2
10.10.2024;2,4;2,1;0,2;0,2
11.09.2024;2,5;2,7;0,2;0,1
14.08.2024;2,9;2,9;0,2;0,3
11.07.2024;3,0;3,1;-0,1;0,1
12.06.2024;3,3;3,6;0,0;0,1
15.05.2024;3,4;3,5;0,3;0,2
10.04.2024;3,5;3,1;0,4;0,2
12.03.2024;3,2;3,6;0,4;0,2
13.02.2024;3,1;2,8;0,3;0,2
11.01.2024;3,4;3,3;0,3;0,3
12.12.2023;3,1;3,6;0,1;0,2
14.11.2023;3,2;2,7;0,0;0,2
12.10.2023;3,7;3,1;0,4;0,2
13.09.2023;3,7;4,2;0,6;0,2
10.08.2023;3,2;3,9;0,2;0,2
12.07.2023;3,0;2,2;0,2;0,2
13.06.2023;4,0;3,2;0,1;0,2
10.05.2023;4,9;4,2;0,4;0,2
12.04.2023;5,0;4,4;0,1;0,2
14.03.2023;6,0;6,1;0,4;0,2
14.02.2023;6,4;6,2;0,5;0,2
12.01.2023;6,5;5,8;-0,1;0,3
13.12.2022;7,1;6,8;0,1;0,4
10.11.2022;7,7;7,7;0,4;0,5
13.10.2022;8,2;7,7;0,4;0,6
13.09.2022;8,3;7,7;0,1;0,7
10.08.2022;8,5;9;0;0,6
13.07.2022;9,1;9,7;1,3;0,9
10.06.2022;8,6;9;1;0,8
11.05.2022;8,3;8,2;0,3;0,7
12.04.2022;8,5;8,4;1,2;1,3
10.03.2022;7,9;7,9;0,8;0,7
10.02.2022;7,5;7,6;0,6;0,2
12.01.2022;7;7,2;0,5;0,3
10.12.2021;6,8;7,1;0,8;0,7
10.11.2021;6,2;6,5;0,9;0,5
13.10.2021;5,4;5,6;0,4;0,5
14.09.2021;5,3;5,3;0,3;0,4
11.08.2021;5,4;5,4;0,5;0,4
13.07.2021;5,4;5,4;0,9;0,4
10.06.2021;5;4,5;0,6;0,1
12.05.2021;4,2;4,8;0,8;0,3
13.04.2021;2,6;3,2;0,6;0,2
10.03.2021;1,7;1,8;0,4;0,4
10.02.2021;1,4;1,4;0,3;0,4
13.01.2021;1,4;2;0,4;0,2
10.12.2020;1,2;0,9;0,2;0
12.11.2020;1,2;0,7;0;0
13.10.2020;1,4;1,8;0,2;0,2
11.09.2020;1,3;1,4;0,4;0,5
12.08.2020;1;1;0,6;0,6
14.07.2020;0,6;1,1;0,6;0,3
10.06.2020;0,1;0,4;-0,1;-0,2
12.05.2020;0,3;-0,8;-0,8;-0,2
10.04.2020;1,5;0,7;-0,4;0
11.03.2020;2,3;2,2;0,1;0,1
13.02.2020;2,5;2,4;0,1;0,2
14.01.2020;2,3;2,2;0,2;0,2
11.12.2019;2,1;2,1;0,3;0,2
13.11.2019;1,8;1,8;0,4;0,1
10.10.2019;1,7;1,8;0;0,1
12.09.2019;1,7;1,8;0,1;0,1
13.08.2019;1,8;1,4;0,3;0,1
11.07.2019;1,6;1,6;0,1;0,2
12.06.2019;1,8;1,5;0,1;0,2
10.05.2019;2;2,2;0,3;0,3
10.04.2019;1,9;1,6;0,4;0,2
12.03.2019;1,5;1,2;0,2;0,1
13.02.2019;1,6;1,4;0;0
11.01.2019;1,9;1,9;-0,1;0,1
12.12.2018;2,2;2,2;0;0,1
14.11.2018;2,5;2,2;0,3;0,1
11.10.2018;2,3;1,9;0,1;0,2
13.09.2018;2,7;2,5;0,2;0,2
10.08.2018;2,9;2,7;0,2;0,1
12.07.2018;2,9;2,8;0,1;0
12.06.2018;2,8;3,2;0,2;0
10.05.2018;2,5;2,3;0,2;0
11.04.2018;2,4;2,6;-0,1;0
13.03.2018;2,2;2,3;0,2;0,1
14.02.2018;2,1;2,1;0,5;0,1
12.01.2018;2,1;1,9;0,1;0,1
13.12.2017;2,2;1,9;0,4;0,2
15.11.2017;2;2;0,1;0,2
13.10.2017;2,2;2,7;0,5;0,1
14.09.2017;1,9;1,6;0,4;0,1
11.08.2017;1,7;1,7;0,1;0
14.07.2017;1,6;1,6;0;-0,1
14.06.2017;1,9;1,3;-0,1;-0,2
12.05.2017;2,2;1,8;0,2;0
14.04.2017;2,4;1,9;-0,3;-0,1
15.03.2017;2,7;;0,1;
15.02.2017;2,5;;0,6;
18.01.2017;2,1;;0,3;
15.12.2016;1,7;;0,2;
17.11.2016;1,6;;0,4;
18.10.2016;1,5;;0,3;
16.09.2016;1,1;;0,2;
16.08.2016;0,8;;0;
15.07.2016;1;;0,2;
16.06.2016;1;;0,2;
17.05.2016;1,1;;0,4;
14.04.2016;0,9;;0,1;
16.03.2016;1;;-0,2;
19.02.2016;1,4;;0;
20.01.2016;0,7;;-0,1;
15.12.2015;0,5;;0;
17.11.2015;0,2;;0,2;
15.10.2015;0;;-0,2;
16.09.2015;0,2;;-0,1;
19.08.2015;0,2;;0,1;
17.07.2015;0,1;;0,3;
18.06.2015;0;;0,4;
22.05.2015;-0,2;;0,1;
17.04.2015;-0,1;;0,2;
24.03.2015;0;;0,2;
26.02.2015;-0,1;;-0,7;
16.01.2015;0,8;;-0,4;
17.12.2014;1,3;;-0,3;
20.11.2014;1,7;;0;
22.10.2014;1,7;;0,1;
17.09.2014;1,7;;-0,2;
19.08.2014;2;;0,1;
22.07.2014;2,1;;0,3;
17.06.2014;2,1;;0,4;
15.05.2014;2;;0,3;
15.04.2014;1,5;;0,2;
18.03.2014;1,1;;0,1;
20.02.2014;1,6;;0,1;
16.01.2014;1,5;;0,3;
17.12.2013;1,2;;0;
20.11.2013;1;;-0,1;
30.10.2013;1,2;;0,2;
17.09.2013;1,5;;0,1;
15.08.2013;2;;0,2;
16.07.2013;1,8;;0,5;
18.06.2013;1,4;;0,1;
16.05.2013;1,1;;-0,4;
16.04.2013;1,5;;-0,2;
15.03.2013;2;;0,7;
21.02.2013;1,6;;0;
16.01.2013;1,7;;0;
14.12.2012;1,8;;-0,3;
15.11.2012;2,2;;0,1;
16.10.2012;2;;0,6;
14.09.2012;1,7;;0,6;
15.08.2012;1,4;;0;
17.07.2012;1,7;;0;
14.06.2012;1,7;;-0,3;
15.05.2012;2,3;;0;
13.04.2012;2,7;;0,3;
16.03.2012;2,9;;0,4;
17.02.2012;2,9;;0,2;
19.01.2012;3;;0;
16.12.2011;3,4;;0;
16.11.2011;3,5;;-0,1;
19.10.2011;3,9;;0,3;
15.09.2011;3,8;;0,4;
18.08.2011;3,6;;0,5;
15.07.2011;3,6;;-0,2;
15.06.2011;3,6;;0,2;
13.05.2011;3,2;;0,4;
15.04.2011;2,7;;0,5;
17.03.2011;2,1;;0,5;
17.02.2011;1,6;;0,4;
14.01.2011;1,5;;0,4;
15.12.2010;1,1;;0,1;
17.11.2010;1,2;;0,2;
15.10.2010;1,1;;0,1;
17.09.2010;1,1;;0,3;
13.08.2010;1,2;;0,3;
16.07.2010;1,1;;-0,1;
17.06.2010;2;;-0,2;
19.05.2010;2,2;;-0,1;
14.04.2010;2,3;;0,1;
18.03.2010;2,1;;0;
19.02.2010;2,6;;0,2;
15.01.2010;2,7;;0,2;
16.12.2009;1,8;;0,4;
18.11.2009;-0,2;;0,3;
15.10.2009;-1,3;;0,2;
16.09.2009;-1,5;;0,4;
14.08.2009;-2,1;;0;
15.07.2009;-1,4;;0,7;
17.06.2009;-1,3;;0,1;
15.05.2009;-0,7;;0;
15.04.2009;-0,4;;-0,1;
18.03.2009;0,2;;0,4;
20.02.2009;0;;0,3;
16.01.2009;0,1;;-0,8;
16.12.2008;1,1;;-1,7;
19.11.2008;3,7;;-1;
16.10.2008;4,9;;0;
16.09.2008;5,4;;-0,1;
14.08.2008;5,6;;0,8;
16.07.2008;5;;1,1;
13.06.2008;4,2;;0,6;
14.05.2008;3,9;;0,2;
16.04.2008;4;;0,3;
14.03.2008;4;;0;
20.02.2008;4,3;;0,4;
16.01.2008;4,1;;0,4;
14.12.2007;4,3;;0,8;
15.11.2007;3,5;;0,3;
17.10.2007;2,8;;0,3;
19.09.2007;2;;-0,1;
15.08.2007;2,4;;0,1;
18.07.2007;2,7;;0,2;
15.06.2007;2,7;;0,7;
15.05.2007;2,6;;0,4;
17.04.2007;2,8;;0,6;
16.03.2007;2,4;;0,6;
23.02.2007;2,1;;0,6;
22.02.2007;2,1;;;
21.02.2007;2,1;;;
